run_id,timestep,mean_reward
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,75000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,105000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,15000,434.4
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,15000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,15000,411.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,30000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,45000,500.0
